subscription_id,customer_id,status,contract_date,cancel_date,product_id,campaign_id
S0001,C0046,Cancelled,2022-11-02,,P0017,CP008
S0002,C0025,Active,2022-11-05,,P0012,
S0003,C0010,Cancelled,2023-10-14,,P0015,CP007
S0004,C0019,Active,2024-09-12,,P0011,CP002
S0005,C0017,Active,2023-12-20,,P0015,CP002
S0006,C0019,Cancelled,2023-02-10,2024-12-20,P0004,CP007
S0007,C0046,Active,2023-01-28,,P0006,CP001
S0008,C0035,Cancelled,2024-01-07,,P0017,CP005
S0009,C0039,Cancelled,2025-06-19,,P0018,CP003
S0010,C0014,Active,2024-05-29,2024-08-21,P0017,CP009
S0011,C0023,Active,2024-03-10,2025-04-09,P0001,CP001
S0012,C0016,Active,2024-11-25,,P0004,CP008
S0013,C0001,Active,2022-09-14,,P0009,CP005
S0014,C0047,Cancelled,2024-09-23,,P0019,CP004
S0015,C0014,Active,2024-03-09,,P0009,CP010
S0016,C0030,Active,2025-08-28,,P0010,
S0017,C0038,Cancelled,2025-06-06,,P0020,CP003
S0018,C0002,Cancelled,2022-11-19,,P0015,CP008
S0019,C0003,Cancelled,2024-08-24,2024-12-30,P0008,CP002
S0020,C0025,Active,2024-12-28,2025-07-03,P0016,CP010
